source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[compound]	characteristics[concentration of]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[sample amount]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 318	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 253	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_03.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 319	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 253	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_03.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 320	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 254	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_04.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 321	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 254	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_04.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 322	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 254	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_04.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 323	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 254	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_04.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 324	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 255	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_05.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 325	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 255	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_05.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 326	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 255	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_05.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 327	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 255	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_B_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_B_05.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 328	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 256	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 329	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 256	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 330	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 256	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 331	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 256	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 332	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 257	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_02.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 333	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 257	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_02.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 334	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 257	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_02.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 335	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 257	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_02.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 336	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 258	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_03.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 337	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 258	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_03.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 338	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 258	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_03.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 339	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 258	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_03.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 340	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 259	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_04.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 341	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 259	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_04.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 342	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 259	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_04.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 343	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 259	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_04.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 344	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 260	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_05.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 345	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 260	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_05.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 346	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 260	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_05.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 347	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 260	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_C_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_C_05.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 348	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 261	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_D_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_D_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 349	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 261	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_D_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_D_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 350	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 261	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_D_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_D_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 351	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 261	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_D_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_D_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 352	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 262	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_D_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_D_02.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 353	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 262	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_D_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_D_02.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 354	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	none	not applicable	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 262	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DIA_D_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DIA_D_02.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
