source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]	factor value[compound]
Sample 96	Homo sapiens	lymphoblastic	not available	not available	Anaplastic large cell lymphoma	not available	T lymphocyte	Mac-1	no compound	glycosylation	3	cell	run 288	proteomic profiling by mass spectrometry	UM_A_2012_0977_a3-MAC1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0977_a3-MAC1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Mac-1	no compound
Sample 97	Homo sapiens	T lymphocyte	53Y	male	Sezary Syndrome	Caucasian	cutaneous T lymphocyte	Hut-78	no compound	glycosylation	3	cell	run 289	proteomic profiling by mass spectrometry	UM_A_2012_0978_a1-HUT78.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0978_a1-HUT78.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Hut-78	no compound
Sample 97	Homo sapiens	T lymphocyte	53Y	male	Sezary Syndrome	Caucasian	cutaneous T lymphocyte	Hut-78	no compound	glycosylation	3	cell	run 290	proteomic profiling by mass spectrometry	UM_A_2012_0978_a2-HUT78.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0978_a2-HUT78.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Hut-78	no compound
Sample 97	Homo sapiens	T lymphocyte	53Y	male	Sezary Syndrome	Caucasian	cutaneous T lymphocyte	Hut-78	no compound	glycosylation	3	cell	run 291	proteomic profiling by mass spectrometry	UM_A_2012_0978_a3-HUT78.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0978_a3-HUT78.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Hut-78	no compound
Sample 98	Homo sapiens	lymphoblastic	15Y	male	Aggressive NK-cell leukemia	not available	lymphoblastic	YT	no compound	glycosylation	3	cell	run 292	proteomic profiling by mass spectrometry	UM_A_2012_0979_a1-YT.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0979_a1-YT.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	YT	no compound
Sample 98	Homo sapiens	lymphoblastic	15Y	male	Aggressive NK-cell leukemia	not available	lymphoblastic	YT	no compound	glycosylation	3	cell	run 293	proteomic profiling by mass spectrometry	UM_A_2012_0979_a2-YT.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0979_a2-YT.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	YT	no compound
Sample 98	Homo sapiens	lymphoblastic	15Y	male	Aggressive NK-cell leukemia	not available	lymphoblastic	YT	no compound	glycosylation	3	cell	run 294	proteomic profiling by mass spectrometry	UM_A_2012_0979_a3-YT.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_0979_a3-YT.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	YT	no compound
Sample 99	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92MI	no compound	glycosylation	1	cell	run 295	proteomic profiling by mass spectrometry	UM_A_2012_1009_a1-NK92MI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1009_a1-NK92MI.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92MI	no compound
Sample 99	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92MI	no compound	glycosylation	1	cell	run 296	proteomic profiling by mass spectrometry	UM_A_2012_1009_a2-NK92MI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1009_a2-NK92MI.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92MI	no compound
Sample 99	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92MI	no compound	glycosylation	1	cell	run 297	proteomic profiling by mass spectrometry	UM_A_2012_1009_a3-NK92MI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1009_a3-NK92MI.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92MI	no compound
Sample 100	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92MI	no compound	glycosylation	2	cell	run 298	proteomic profiling by mass spectrometry	UM_A_2012_1010_a1-NK92MI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1010_a1-NK92MI.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92MI	no compound
Sample 100	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92MI	no compound	glycosylation	2	cell	run 299	proteomic profiling by mass spectrometry	UM_A_2012_1010_a2-NK92MI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1010_a2-NK92MI.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92MI	no compound
Sample 100	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92MI	no compound	glycosylation	2	cell	run 300	proteomic profiling by mass spectrometry	UM_A_2012_1010_a3-NK92MI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1010_a3-NK92MI.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92MI	no compound
Sample 101	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92MI	no compound	glycosylation	3	cell	run 301	proteomic profiling by mass spectrometry	UM_A_2012_1011_a1-NK92MI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1011_a1-NK92MI.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92MI	no compound
Sample 101	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92MI	no compound	glycosylation	3	cell	run 302	proteomic profiling by mass spectrometry	UM_A_2012_1011_a2-NK92MI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1011_a2-NK92MI.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92MI	no compound
Sample 101	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92MI	no compound	glycosylation	3	cell	run 303	proteomic profiling by mass spectrometry	UM_A_2012_1011_a3-NK92MI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1011_a3-NK92MI.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92MI	no compound
Sample 102	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92	no compound	glycosylation	1	cell	run 304	proteomic profiling by mass spectrometry	UM_A_2012_1459_a1-NK92.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1459_a1-NK92.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92	no compound
Sample 102	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92	no compound	glycosylation	1	cell	run 305	proteomic profiling by mass spectrometry	UM_A_2012_1459_a2-NK92.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1459_a2-NK92.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92	no compound
Sample 102	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92	no compound	glycosylation	1	cell	run 306	proteomic profiling by mass spectrometry	UM_A_2012_1459_a3-NK92.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1459_a3-NK92.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92	no compound
Sample 103	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92	no compound	glycosylation	2	cell	run 307	proteomic profiling by mass spectrometry	UM_A_2012_1460_a1-NK92.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1460_a1-NK92.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92	no compound
Sample 103	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92	no compound	glycosylation	2	cell	run 308	proteomic profiling by mass spectrometry	UM_A_2012_1460_a2-NK92.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1460_a2-NK92.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92	no compound
Sample 103	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92	no compound	glycosylation	2	cell	run 309	proteomic profiling by mass spectrometry	UM_A_2012_1460_a3-NK92.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1460_a3-NK92.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92	no compound
Sample 104	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92	no compound	glycosylation	3	cell	run 310	proteomic profiling by mass spectrometry	UM_A_2012_1461_a1-NK92.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1461_a1-NK92.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92	no compound
Sample 104	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92	no compound	glycosylation	3	cell	run 311	proteomic profiling by mass spectrometry	UM_A_2012_1461_a2-NK92.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1461_a2-NK92.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92	no compound
Sample 104	Homo sapiens	peripheral blood	50Y	male	malignant non-Hodgkin's lymphoma	Caucasian	natural killer cell	NK-92	no compound	glycosylation	3	cell	run 312	proteomic profiling by mass spectrometry	UM_A_2012_1461_a3-NK92.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2012_1461_a3-NK92.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NK-92	no compound
Sample 105	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	DMSO	glycosylation	1	cell	run 313	proteomic profiling by mass spectrometry	UM_A_2013_0202_a1-KARPAS299_DMSO_1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2013_0202_a1-KARPAS299_DMSO_1.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	DMSO
Sample 105	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	DMSO	glycosylation	1	cell	run 314	proteomic profiling by mass spectrometry	UM_A_2013_0202_a2-KARPAS299_DMSO_1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2013_0202_a2-KARPAS299_DMSO_1.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	DMSO
Sample 105	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	DMSO	glycosylation	1	cell	run 315	proteomic profiling by mass spectrometry	UM_A_2013_0202_a3-KARPAS299_DMSO_1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2013_0202_a3-KARPAS299_DMSO_1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	DMSO
Sample 106	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	ALK inhibitor	glycosylation	1	cell	run 316	proteomic profiling by mass spectrometry	UM_A_2013_0203_a1-KARPAS299_ALKI_1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2013_0203_a1-KARPAS299_ALKI_1.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	ALK inhibitor
Sample 106	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	ALK inhibitor	glycosylation	1	cell	run 317	proteomic profiling by mass spectrometry	UM_A_2013_0203_a2-KARPAS299_ALKI_1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2013_0203_a2-KARPAS299_ALKI_1.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	ALK inhibitor
Sample 106	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	ALK inhibitor	glycosylation	1	cell	run 318	proteomic profiling by mass spectrometry	UM_A_2013_0203_a3-KARPAS299_ALKI_1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2013_0203_a3-KARPAS299_ALKI_1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	ALK inhibitor
Sample 107	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	DMSO	glycosylation	2	cell	run 319	proteomic profiling by mass spectrometry	UM_A_2013_0204_a1-KARPAS299_DMSO_2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2013_0204_a1-KARPAS299_DMSO_2.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	DMSO
Sample 107	Homo sapiens	Lymphoma	not available	not available	"Anaplastic large cell lymphoma,"	not available	T lymphocyte	Karpas 299	DMSO	glycosylation	2	cell	run 320	proteomic profiling by mass spectrometry	UM_A_2013_0204_a2-KARPAS299_DMSO_2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_A_2013_0204_a2-KARPAS299_DMSO_2.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 299	DMSO
